symbol,date,open,high,low,close,volume,MA_20,MA_50,MA_200,RSI,MACD,Signal,ATR,ADX,BL_Upper,BL_Lower
BTC,2017-08-18,4164.02,4371.52,4134.61,4221.83,738.395791,4237.183,4264.591600000001,4306.6558,41.42702916906602,-15.417465478977647,-13.429463458508625,13.259575335251006,52.44126239187162,4278.498826556031,4195.867173443969
BTC,2017-08-19,4156.99,4184.69,3850.0,4045.0,293.617323,4041.4990000000007,4046.3594,4027.6372499999998,51.564046614856835,-1.0157867248835828,-2.3898990831488702,3.4416819641091885,11.311061432125289,4055.7889473755354,4027.209052624466
BTC,2017-08-20,4068.12,4211.08,4032.62,4096.32,74.304,4080.2479999999996,4077.5226000000002,4103.00375,65.29739836040166,-1.3003891306702826,-1.4368187606288254,4.612946698376356,41.742135905288116,4103.29134142444,4057.204658575559
BTC,2017-08-21,4101.66,4114.86,3911.79,3958.35,481.666816,3982.241499999999,3951.0784000000003,3992.9688499999993,45.38113382448421,5.688991882165283,9.85087767821952,11.575884229465627,20.025253351073147,4029.971702712742,3934.511297287256
BTC,2017-08-22,3791.84,3990.12,3400.0,3849.0,570.807689,3825.5695,3856.7282,3885.3621,54.1828756616876,-11.414037038477545,-16.43737049376874,18.385045820632566,19.693688419478047,3889.4789795706797,3761.6600204293204
BTC,2017-08-23,4040.0,4265.8,4035.32,4206.58,588.4451,4196.7305,4192.404,4208.5202500000005,52.64471992841707,2.2499727300264567,3.4514454543569877,18.809438097900237,21.46912707644326,4231.158682917627,4162.302317082373
BTC,2017-08-24,4128.24,4250.94,4085.01,4192.19,484.341348,4195.318499999999,4180.7744,4172.2285999999995,49.69652970623865,5.027445439386611,6.711468941495032,7.156825699267829,14.97110848357711,4219.307370148355,4171.329629851643
BTC,2017-08-25,4362.99,4366.47,4261.13,4329.0,396.049321,4329.0725,4320.029200000001,4319.50695,53.75682384627815,0.5057193624688807,0.6469030087433445,6.330317151186607,36.407148811104655,4354.656690333095,4303.4883096669055
BTC,2017-08-26,4282.0,4319.7,4221.14,4271.85,129.470424,4263.384,4264.1332,4270.8903,73.95891764605996,1.8514953537787733,0.6660766334237654,1.3839077616393012,22.232943680811317,4270.49686271464,4256.27113728536
BTC,2017-08-27,4347.0,4400.0,4285.54,4312.19,172.06052,4311.111500000001,4310.914000000001,4316.7833,54.93212298339874,0.8341007299404737,0.6387744588060921,1.0939700043179683,29.75005238565073,4314.382984524978,4307.840015475023
BTC,2017-08-28,4267.6,4365.4,4124.54,4295.5,316.662059,4297.2325,4302.2454,4305.03315,48.32485773920588,-0.09977805363450898,-0.3900733351665295,8.371880420299057,20.415201627058675,4311.519184534981,4282.945815465019
BTC,2017-08-29,4386.68,4625.85,4313.55,4579.92,356.828422,4572.8075,4566.8086,4447.1226,55.84586422904829,6.358240496254439,6.002221809677785,9.905591074098382,13.693653872708555,4599.993068874194,4545.6219311258055
BTC,2017-08-30,4580.07,4647.51,4416.01,4558.16,524.739885,4562.195,4564.5848000000005,4542.50805,47.27558528635452,-1.492931755772588,-1.211918817304947,8.254860836530348,22.35081740603554,4580.326649125346,4544.063350874653
BTC,2017-08-31,4570.65,4685.55,4569.6,4667.34,360.961192,4665.0535,4670.0278,4662.398999999999,51.18153710677766,-1.0031578755024384,-2.220872616289204,7.0131787689650915,21.346290339470162,4688.504802970297,4641.602197029703
BTC,2017-09-01,4740.0,4839.92,4654.88,4748.93,317.174298,4743.572,4757.6684000000005,4774.3196,50.23054130418846,-1.6324412187923372,-3.723465392759294,2.7426256605055137,15.08859953651232,4752.321577360952,4734.822422639048
BTC,2017-09-02,4860.07,4939.19,4436.58,4458.83,524.297719,4539.621,4575.3344,4610.30945,28.036897262877847,-32.73711556937178,-23.974664303345946,18.564232837059496,19.9505398407777,4637.925651954976,4441.316348045024
BTC,2017-09-03,4570.0,4714.76,4298.33,4349.64,422.567759,4334.061500000001,4325.2246000000005,4429.05465,53.22960400775937,4.841950585401719,-0.04808378091268606,26.821167804323924,13.590901723139334,4378.577122999474,4289.545877000527
BTC,2017-09-04,4419.95,4493.15,4052.0,4231.06,950.858875,4214.411,4239.63,4193.993350000001,55.24579561573038,0.29415346237874473,-3.5840411864785873,9.152663981618437,18.45763761673652,4242.045205543343,4186.776794456657
BTC,2017-09-05,3942.07,4298.0,3603.0,4260.23,787.634505,4253.811,4262.8006,4245.52495,50.19689278099919,1.88837500961381,-0.7564562088277843,13.718303157185368,19.938412821505505,4276.902818377706,4230.719181622293
BTC,2017-09-06,4472.83,4597.79,4335.26,4510.98,683.019292,4521.7565,4508.5352,4516.55905,45.277967594154696,1.8392928085186213,5.009276914683842,7.378110863700409,21.216292693421206,4540.777671651475,4502.735328348525
BTC,2017-09-07,4489.26,4743.49,4452.0,4694.04,373.645962,4684.5705,4674.3769999999995,4673.3043,55.61469244315282,6.229097439804718,5.5792518570821334,8.66692137773733,11.820219791736617,4713.752153465826,4655.388846534173
BTC,2017-09-08,4600.52,4699.77,4028.93,4240.12,440.266766,4173.121,4243.9874,4524.48395,54.29979335475745,2.8067426461548166,-15.170890547951947,42.390587375606344,32.887843329236865,4308.088555197439,4038.1534448025614
BTC,2017-09-09,4221.31,4426.62,4150.06,4265.01,396.411096,4259.2339999999995,4284.2155999999995,4315.2829,46.478526290609715,-6.390542792895758,-8.856223428872234,5.098599090389309,30.157569210141155,4275.644703092789,4242.82329690721
BTC,2017-09-10,4238.33,4259.99,3801.0,4072.49,441.711745,4099.9405,4097.1976,4065.7859000000003,23.7111675364874,-4.120151954454741,0.46893704039439565,3.9861714490587947,37.67266316710079,4124.786275878076,4075.0947241219233
BTC,2017-09-11,4135.15,4334.43,4101.32,4250.01,517.929306,4273.7735,4280.587799999999,4219.93605,38.57249601606673,-6.04952190916174,-2.311501382362789,8.879593295833313,22.323875566547006,4301.7832720627,4245.7637279373
BTC,2017-09-12,4259.49,4394.59,4213.6,4267.01,476.503075,4257.008,4256.332200000001,4299.3866,53.79030146699309,2.900714388212691,0.26544067220812534,11.043927893284472,15.273034948038585,4282.202357781078,4231.813642218922
